gene	treat	ppi.c1.hpdlo	ppi.c1	ppi.c1.hpdhi	ppi.c1.sd	mu.c1.hpdlo	mu.c1	mu.c1.hpdhi	mu.c1.sd	sig.c1.hpdlo	sig.c1	sig.c1.hpdhi	sig.c1.sd	cl.hpdlo	cl	cl.hpdhi	cl.sd	ml.hpdlo	ml	ml.hpdhi	ml.sd	ent.c1.hpdlo	ent.c1	ent.c1.hpdhi	ent.c1.sd	var.c1.hpdlo	var.c1	var.c1.hpdhi	var.c1.sd	lppi.c1.hpdlo	lppi.c1	lppi.c1.hpdhi	lppi.c1.sd	lodds.c1.hpdlo	lodds.c1	lodds.c1.hpdhi	lodds.c1.sd	off.c1.hpdlo	off.c1	off.c1.hpdhi	off.c1.sd	lmean.c1.hpdlo	lmean.c1	lmean.c1.hpdhi	lmean.c1.sd	dropoff.c1.hpdlo	dropoff.c1	dropoff.c1.hpdhi	dropoff.c1.sd	adpval1.c1	adpvalk.c1	singladpval1.c1	singladpvalk.c1	ppp.obsoff1.c1	ppp.meanon1.c1	ppp.sdon1.c1	ppp.rangeon1.c1	ppp.iqron1.c1	ppp.obsoffk.c1	ppp.meanonk.c1	ppp.sdonk.c1	ppp.rangeonk.c1	ppp.iqronk.c1	pass.c1	pass	sigok	obsoff1.c1	obsoffk.c1
BABAM1	X	0.325132590932264	0.451594107629685	0.582215064288426	0.0947545629108702	0.0919598653719101	0.116472953531462	0.136047312469216	0.0142268771893122	0.294644651896438	0.311977790013404	0.32612882022447	0.00984160111044327	2.8203197159408	5.05281425750762	7.15397514904542	1.9961789630539	2.69232896446504	3.6787172383874	4.99135681229808	0.862323765446231	0.928221897342154	0.966903224250171	0.999999467321639	0.0284426449293931	0.0868154708911731	0.0974269501455086	0.106360007381005	0.0061423625993229	-1.6004595067712	-1.17842959471811	-0.765152077270671	0.301217072421853	-1.05357590684522	-0.288828394205578	0.47879169503507	0.561034813182719	0.417784935711574	0.548405892370315	0.674867409067736	0.0947545629108703	-1.41811699685089	-1.02819103328469	-0.596671934844082	0.304659433635488	0.721126820118708	0.780324848048151	0.835647353348764	0.0447461766421446	2.4077e-05	NA	0.00091398	NA	-0.4	0.46	-0.39	-0.01	0	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	0.904390074613916	NA
CCNA2	X	0.577730915698557	0.766157881455035	0.973567467780474	0.134408732253406	0.122176113808904	0.150042803401453	0.184733253988898	0.0195936730165392	0.39128778709639	0.413413654656207	0.43478924378543	0.0132209903884402	6.21065746495254	6.68394683408873	7.16840956882708	0.34906171542349	2.78686235882178	3.15851224303415	3.77451776114089	0.32939765212453	0.240133302443485	0.701119517412604	0.996293682671094	0.27847647563166	0.15310613233079	0.17108555704576	0.189041686511507	0.0109668331202833	-0.791530396242563	-0.406631230263836	-0.0386471343705738	0.2546125314186	0.207091511154161	2.13361606253662	4.60271894997657	1.62585182267274	0.026432532219526	0.233842118544965	0.422269084301443	0.134408732253406	-0.575315604160567	-0.197294691111985	0.174974563458235	0.250776294710509	0.855440034645278	0.887293526754702	0.91418043803115	0.019757554264032	0.000579515	NA	0.013092	NA	0.39	0.47	-0.44	0	0	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	0.916536526114871	NA
FGFR1	X	0.321676899711407	0.602590101250904	0.982254403095864	0.273345487832061	0.0936407511793569	0.122829813985887	0.155751329749712	0.0212939903080944	0.300804737445241	0.32360320955539	0.345231894599282	0.0142082853246697	6.63177864711566	7.00000001399551	7.47467325535372	0.2742956042904	2.22690937234341	3.13011493207088	4.00412035543715	0.773644034927807	0.207127426673698	0.711287227117232	0.999993461913703	0.290685233448494	0.0904834900695005	0.104920811668731	0.11918506104861	0.00920253905783999	-1.62342201295083	-0.887066747111009	-0.017952774266714	0.676491500863726	-1.282345600514	1.17304080010046	4.89248057338183	2.44315701828878	0.017745596904136	0.397409898749096	0.678323100288593	0.273345487832061	-1.46988381205765	-0.727874150730001	0.133459082318013	0.669321487590363	0.854455382270176	0.90141604258869	0.954222991098311	0.0426951947209321	0.01785175	NA	0.20523	NA	0.5	0.5	0.48	-0.08	0	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	0.951761235467638	NA
KDM5A	X	0.75278669381011	0.892343414169245	0.998703221535744	0.0862003556986921	0.298433622457822	0.320889712617795	0.3426420423431	0.0140215881865448	0.513721870580005	0.529162425091798	0.545519246863622	0.00999825547276832	3.23070477573864	4.01061915594691	4.57904302690882	0.511618681558224	3.28137600986524	3.52783623813249	3.7444609545661	0.159307673326426	0.0601861755426927	0.431999777763528	0.845429038072055	0.267111125165311	0.26391016031222	0.280112787258975	0.297591248698653	0.0105838812591243	-0.409686967543317	-0.171338936281349	-0.00187206995202762	0.143760160090642	1.41463600998954	3.89256490808491	7.14789627348299	2.08245594251051	0.00129677846425613	0.107656585830755	0.24721330618989	0.0862003556986921	0.00127421656670748	0.246630470700119	0.421597752988289	0.144244272462002	0.691514721144388	0.738380230608162	0.779124154671741	0.0279638989431785	5.4692e-11	NA	5.4033e-08	NA	-0.4	-0.44	-0.45	0	-0.26	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	0.766788131181676	NA
KDM5B	X	0.586198578675161	0.689492438667659	0.812308615082874	0.0815762326037871	0.21981661348197	0.24761379642774	0.275081308239219	0.0169598019020829	0.450772953633151	0.469168824113076	0.487312270677961	0.0107609037914689	4.14910044738072	5.29939700431728	6.35648488300172	0.94846503630693	3.54880667759231	4.08344048895919	4.53612706125375	0.350730143972338	0.731137712496598	0.870423847806391	0.986254804828208	0.107956508707125	0.203196255727154	0.220235124671531	0.23747324915331	0.0100967872650387	-0.770538624882395	-0.546338992159689	-0.299900149668018	0.168898313073451	0.400210725271106	1.19949984840283	1.95840159751832	0.59720355501957	0.187691384917126	0.310507561332341	0.413801421324839	0.0815762326037871	-0.480759273255414	-0.222397517868779	-0.0121553270169782	0.169406870590208	0.740999388827094	0.771909706828805	0.799122159607139	0.0250941573780551	4.6279e-07	NA	8.6008e-05	NA	0.48	0.41	0.45	-0.49	0	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	0.845393024466424	NA
LMNA	X	0.814341312223358	0.858064491324969	0.90262292290608	0.0291478476659609	0.461076312167935	0.49276963903282	0.523099163878191	0.0198537807463101	0.682227013741863	0.703943861882063	0.717592881583186	0.0111857190422676	0.386202975497862	0.852766684711487	1.246704740342	0.30996262338377	3.00125190057282	4.04533387017343	4.99645585542481	0.903762955820426	0.460625549566747	0.584289911736026	0.69230091174292	0.0747208954010134	0.46543369827914	0.49566201843177	0.514939543698861	0.0157442041514634	-0.296294501567058	-0.22168190614088	-0.147804677357359	0.0493614507564205	2.13298076657895	2.62536909422255	3.21246931562418	0.345702898136165	0.0973770770939201	0.141935508675031	0.185658687776642	0.0291478476659609	0.354217530405613	0.442871098185256	0.53851516256816	0.0592395260664169	0.49452373403239	0.519281009628571	0.539076369235324	0.0153475749931953	2.88215e-25	NA	5.8321e-19	NA	-0.46	-0.42	0.46	0	0	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	0.58719416970328	NA
MITF	X	0.991042652514632	0.996889847819472	0.99999773107976	0.00334215555135872	0.0118379024034619	0.0216723910124415	0.0358102510743646	0.00721938707195023	0.987386392699083	0.99877682104957	1.00549916507841	0.0058409403780799	1.26637679258217e-06	0.000212067230456969	0.000548203221095274	0.000234196260446398	0.0664251013564797	0.1000714935621	0.132995516660654	0.0267367216934978	4.5814618509561e-05	0.0281912712958954	0.0737989321516927	0.0259405979908532	0.974931888487307	0.997589237792093	1.01102857097338	0.0116680214749876	-0.0129809453997571	-0.00450212579594179	-3.27336369195544e-06	0.0048496357465884	6.31052335860964	9.30213585290913	12.1022213137575	2.0370814788938	2.26892024002279e-06	0.00311015218052815	0.00895734748536781	0.00334215555135872	0.343641935943068	0.362908348982767	0.383505436120801	0.0121001170176152	0.485902186766237	0.49154319302	0.495413641128394	0.00286847436694831	1.4985e-51	NA	4.4812e-47	NA	0	0	0	-0.18	0	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	0.449071664063856	NA
RUNX2	X	0.083284882633731	0.294132913395264	0.548859082504839	0.202798987397303	0.028796520290326	0.0601053252876115	0.0936642960758216	0.0211481239294853	0.216809088384819	0.23448140902941	0.254598939419321	0.0121474829968871	3.06009077192688	4.18209267822895	5.39946050313278	1.05066862261529	1.74111529917173	2.54136596568567	3.49269251809451	0.702265968695363	0.447787521951089	0.724845398987703	0.999999998338692	0.252385386503847	0.047006180806256	0.0551290187429058	0.0648206199534431	0.00573369886783745	-3.53545380303205	-2.18373210634753	-0.844244792791219	1.13910583815424	-3.42374165303645	-1.61408713025884	0.304377440694647	1.5822582109289	0.451140917495161	0.705867086604736	0.916715117366269	0.202798987397303	-3.39320655709071	-2.10452051910558	-0.71107069035669	1.12817535714221	0.704837964850216	0.831487325692617	0.951962738544195	0.109675538910068	0.05327125	NA	0.49396	NA	0.45	0.45	0.46	-0.17	0	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	0.972236682283533	NA
SOX10	X	0.59505625287468	0.672209017171366	0.72655919911986	0.0432339312887499	0.200597541794293	0.217654321322505	0.233304386606803	0.0110478971400714	0.418905443446292	0.43002435210651	0.444394827723875	0.00797203499824783	3.50983284085867	4.01894074055283	4.40063706658112	0.316717937242471	4.48822552681308	4.72171321795576	4.99798516539032	0.178067966470252	0.851553624732337	0.906512254601461	0.978132128108163	0.045396293934337	0.172668671097682	0.184984464969966	0.194581743676922	0.00685987539513185	-0.748902036706717	-0.576020582981643	-0.460847743282302	0.093278064063679	0.555304548652425	1.04588798723803	1.40985182396596	0.285849750736923	0.27344080088014	0.327790982828634	0.40494374712532	0.0432339312887499	-0.45960406411559	-0.294255531488476	-0.172990126746279	0.0932397871500891	0.659477173565028	0.691124009751403	0.716628148289754	0.0201701797347299	3.872525e-15	NA	2.399e-10	NA	-0.44	-0.46	-0.46	-0.43	0	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	0.792816241540864	NA
TXNRD1	X	0.530886035273792	0.545751593354419	0.566071641227532	0.0106503115439732	1.72501633978447e-05	0.170307140942735	0.350305914663973	0.168740714372288	0.577209698437943	0.654854487667288	0.730548834681887	0.0611156710923139	1.56301660481289e-05	0.197112172682834	0.439828562724659	0.20079945168046	0.108554787845826	1.29080561405208	2.54602181353057	1.17103133568772	0.990335975310136	0.993621757943105	0.999004950284099	0.0029329601342952	0.331112166608365	0.432567657708424	0.531365155397313	0.080082683904517	-0.913525902392045	-0.873958093823887	-0.820943444828288	0.028146467887192	0.178463744440411	0.264886118010988	0.383527775535052	0.0620421902622641	0.433928358772468	0.454248406645581	0.469113964726208	0.0106503115439732	-0.714337241127981	-0.553734426710145	-0.375281883788587	0.143958717271612	0.495847627533884	0.502395253444313	0.512644431076497	0.00565839738539807	6.385425e-27	NA	1.291e-14	NA	0.42	-0.27	0.25	-0.11	-0.49	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	0.730695818150269	NA
